Designator,Mid X,Mid Y,Layer,Rotation
D2,72.88,101.48,T,90.00
D2,92.66,101.48,T,90.00
D2,112.44,101.48,T,90.00
D2,132.22,101.48,T,90.00
D2,152.00,101.48,T,90.00
D2,171.78,101.48,T,90.00
D2,191.56,101.48,T,90.00
D2,13.54,73.48,T,90.00
D2,33.32,73.48,T,90.00
D2,53.10,73.48,T,90.00
D2,72.88,73.48,T,90.00
D2,92.66,73.48,T,90.00
D2,112.44,73.48,T,90.00
D2,132.22,73.48,T,90.00
D2,152.00,73.48,T,90.00
D2,171.78,73.48,T,90.00
D2,191.56,73.48,T,90.00
D2,13.54,45.48,T,90.00
D2,33.32,45.48,T,90.00
D2,53.10,45.48,T,90.00
D2,72.88,45.48,T,90.00
D2,92.66,45.48,T,90.00
D2,112.44,45.48,T,90.00
D2,132.22,45.48,T,90.00
D2,152.00,45.48,T,90.00
D2,171.78,45.48,T,90.00
D2,191.56,45.48,T,90.00
D2,13.54,17.48,T,90.00
D2,33.32,17.48,T,90.00
D2,53.10,17.48,T,90.00
D2,72.88,17.48,T,90.00
D2,92.66,17.48,T,90.00
D2,112.44,17.48,T,90.00
D2,132.22,17.48,T,90.00
D2,152.00,17.48,T,90.00
D2,171.78,17.48,T,90.00
D2,191.56,17.48,T,90.00
F1,53.10,47.65,T,90.00
F1,72.88,47.65,T,90.00
F1,92.66,47.65,T,90.00
F1,112.44,47.65,T,90.00
F1,132.22,47.65,T,90.00
F1,152.00,47.65,T,90.00
F1,171.78,47.65,T,90.00
F1,191.56,47.65,T,90.00
F1,13.54,19.65,T,90.00
F1,33.32,19.65,T,90.00
F1,53.10,19.65,T,90.00
F1,72.88,19.65,T,90.00
F1,92.66,19.65,T,90.00
F1,112.44,19.65,T,90.00
F1,132.22,19.65,T,90.00
F1,152.00,19.65,T,90.00
F1,171.78,19.65,T,90.00
F1,191.56,19.65,T,90.00
F1,13.54,131.65,T,90.00
F1,33.32,131.65,T,90.00
F1,53.10,131.65,T,90.00
F1,72.88,131.65,T,90.00
F1,92.66,131.65,T,90.00
F1,112.44,131.65,T,90.00
F1,132.22,131.65,T,90.00
F1,152.00,131.65,T,90.00
F1,171.78,131.65,T,90.00
F1,191.56,131.65,T,90.00
F1,13.54,103.65,T,90.00
F1,33.32,103.65,T,90.00
F1,53.10,103.65,T,90.00
F1,72.88,103.65,T,90.00
F1,92.66,103.65,T,90.00
F1,112.44,103.65,T,90.00
F1,132.22,103.65,T,90.00
F1,152.00,103.65,T,90.00
F1,171.78,103.65,T,90.00
F1,191.56,103.65,T,90.00
F1,13.54,75.65,T,90.00
F1,33.32,75.65,T,90.00
F1,53.10,75.65,T,90.00
F1,72.88,75.65,T,90.00
F1,92.66,75.65,T,90.00
F1,112.44,75.65,T,90.00
F1,132.22,75.65,T,90.00
F1,152.00,75.65,T,90.00
F1,171.78,75.65,T,90.00
F1,191.56,75.65,T,90.00
F1,13.54,47.65,T,90.00
F1,33.32,47.65,T,90.00
J1,15.89,136.60,T,180.00
J1,35.67,136.60,T,180.00
J1,55.45,136.60,T,180.00
J1,75.23,136.60,T,180.00
J1,95.01,136.60,T,180.00
J1,114.79,136.60,T,180.00
J1,134.57,136.60,T,180.00
J1,154.35,136.60,T,180.00
J1,174.13,136.60,T,180.00
J1,193.91,136.60,T,180.00
J1,15.89,108.60,T,180.00
J1,35.67,108.60,T,180.00
J1,55.45,108.60,T,180.00
J1,75.23,108.60,T,180.00
J1,95.01,108.60,T,180.00
J1,114.79,108.60,T,180.00
J1,134.57,108.60,T,180.00
J1,154.35,108.60,T,180.00
J1,174.13,108.60,T,180.00
J1,193.91,108.60,T,180.00
J1,15.89,80.60,T,180.00
J1,35.67,80.60,T,180.00
J1,55.45,80.60,T,180.00
J1,75.23,80.60,T,180.00
J1,95.01,80.60,T,180.00
J1,114.79,80.60,T,180.00
J1,134.57,80.60,T,180.00
J1,154.35,80.60,T,180.00
J1,174.13,80.60,T,180.00
J1,193.91,80.60,T,180.00
J1,15.89,52.60,T,180.00
J1,35.67,52.60,T,180.00
J1,55.45,52.60,T,180.00
J1,75.23,52.60,T,180.00
J1,95.01,52.60,T,180.00
J1,114.79,52.60,T,180.00
J1,134.57,52.60,T,180.00
J1,154.35,52.60,T,180.00
J1,174.13,52.60,T,180.00
J1,193.91,52.60,T,180.00
J1,15.89,24.60,T,180.00
J1,35.67,24.60,T,180.00
J1,55.45,24.60,T,180.00
J1,75.23,24.60,T,180.00
J1,95.01,24.60,T,180.00
J1,114.79,24.60,T,180.00
J1,134.57,24.60,T,180.00
J1,154.35,24.60,T,180.00
J1,174.13,24.60,T,180.00
J1,193.91,24.60,T,180.00
R1,18.24,129.48,T,90.00
R1,38.02,129.48,T,90.00
R1,57.80,129.48,T,90.00
R1,77.58,129.48,T,90.00
R1,97.36,129.48,T,90.00
R1,117.14,129.48,T,90.00
R1,136.92,129.48,T,90.00
R1,156.70,129.48,T,90.00
R1,176.48,129.48,T,90.00
R1,196.26,129.48,T,90.00
R1,18.24,101.48,T,90.00
R1,38.02,101.48,T,90.00
R1,57.80,101.48,T,90.00
R1,77.58,101.48,T,90.00
R1,97.36,101.48,T,90.00
R1,117.14,101.48,T,90.00
R1,136.92,101.48,T,90.00
R1,156.70,101.48,T,90.00
R1,176.48,101.48,T,90.00
R1,196.26,101.48,T,90.00
R1,18.24,73.48,T,90.00
R1,38.02,73.48,T,90.00
R1,57.80,73.48,T,90.00
R1,77.58,73.48,T,90.00
R1,97.36,73.48,T,90.00
R1,117.14,73.48,T,90.00
R1,136.92,73.48,T,90.00
R1,156.70,73.48,T,90.00
R1,176.48,73.48,T,90.00
R1,196.26,73.48,T,90.00
R1,18.24,45.48,T,90.00
R1,38.02,45.48,T,90.00
R1,57.80,45.48,T,90.00
R1,77.58,45.48,T,90.00
R1,97.36,45.48,T,90.00
R1,117.14,45.48,T,90.00
R1,136.92,45.48,T,90.00
R1,156.70,45.48,T,90.00
R1,176.48,45.48,T,90.00
R1,196.26,45.48,T,90.00
R1,18.24,17.48,T,90.00
R1,38.02,17.48,T,90.00
R1,57.80,17.48,T,90.00
R1,77.58,17.48,T,90.00
R1,97.36,17.48,T,90.00
R1,117.14,17.48,T,90.00
R1,136.92,17.48,T,90.00
R1,156.70,17.48,T,90.00
R1,176.48,17.48,T,90.00
R1,196.26,17.48,T,90.00
R2,21.86,133.78,T,90.00
R2,41.65,133.78,T,90.00
R2,61.42,133.78,T,90.00
R2,81.20,133.78,T,90.00
R2,100.98,133.78,T,90.00
R2,120.77,133.78,T,90.00
R2,140.54,133.78,T,90.00
R2,160.32,133.78,T,90.00
R2,180.10,133.78,T,90.00
R2,199.88,133.78,T,90.00
R2,21.86,105.78,T,90.00
R2,41.65,105.78,T,90.00
R2,61.42,105.78,T,90.00
R2,81.20,105.78,T,90.00
R2,100.98,105.78,T,90.00
R2,120.77,105.78,T,90.00
R2,140.54,105.78,T,90.00
R2,160.32,105.78,T,90.00
R2,180.10,105.78,T,90.00
R2,199.88,105.78,T,90.00
R2,21.86,77.78,T,90.00
R2,41.65,77.78,T,90.00
R2,61.42,77.78,T,90.00
R2,81.20,77.78,T,90.00
R2,100.98,77.78,T,90.00
R2,120.77,77.78,T,90.00
R2,140.54,77.78,T,90.00
R2,160.32,77.78,T,90.00
R2,180.10,77.78,T,90.00
R2,199.88,77.78,T,90.00
R2,21.86,49.78,T,90.00
R2,41.65,49.78,T,90.00
R2,61.42,49.78,T,90.00
R2,81.20,49.78,T,90.00
R2,100.98,49.78,T,90.00
R2,120.77,49.78,T,90.00
R2,140.54,49.78,T,90.00
R2,160.32,49.78,T,90.00
R2,180.10,49.78,T,90.00
R2,199.88,49.78,T,90.00
R2,21.86,21.78,T,90.00
R2,41.65,21.78,T,90.00
R2,61.42,21.78,T,90.00
R2,81.20,21.78,T,90.00
R2,100.98,21.78,T,90.00
R2,120.77,21.78,T,90.00
R2,140.54,21.78,T,90.00
R2,160.32,21.78,T,90.00
R2,180.10,21.78,T,90.00
R2,199.88,21.78,T,90.00
R3,18.24,131.65,T,270.00
R3,38.02,131.65,T,270.00
R3,57.80,131.65,T,270.00
R3,77.58,131.65,T,270.00
R3,97.36,131.65,T,270.00
R3,117.14,131.65,T,270.00
R3,136.92,131.65,T,270.00
R3,156.70,131.65,T,270.00
R3,176.48,131.65,T,270.00
R3,196.26,131.65,T,270.00
R3,18.24,103.65,T,270.00
R3,38.02,103.65,T,270.00
R3,57.80,103.65,T,270.00
R3,77.58,103.65,T,270.00
R3,97.36,103.65,T,270.00
R3,117.14,103.65,T,270.00
R3,136.92,103.65,T,270.00
R3,156.70,103.65,T,270.00
R3,176.48,103.65,T,270.00
R3,196.26,103.65,T,270.00
R3,18.24,75.65,T,270.00
R3,38.02,75.65,T,270.00
R3,57.80,75.65,T,270.00
R3,77.58,75.65,T,270.00
R3,97.36,75.65,T,270.00
R3,117.14,75.65,T,270.00
R3,136.92,75.65,T,270.00
R3,156.70,75.65,T,270.00
R3,176.48,75.65,T,270.00
R3,196.26,75.65,T,270.00
R3,18.24,47.65,T,270.00
R3,38.02,47.65,T,270.00
R3,57.80,47.65,T,270.00
R3,77.58,47.65,T,270.00
R3,97.36,47.65,T,270.00
R3,117.14,47.65,T,270.00
R3,136.92,47.65,T,270.00
R3,156.70,47.65,T,270.00
R3,176.48,47.65,T,270.00
R3,196.26,47.65,T,270.00
R3,18.24,19.65,T,270.00
R3,38.02,19.65,T,270.00
R3,57.80,19.65,T,270.00
R3,77.58,19.65,T,270.00
R3,97.36,19.65,T,270.00
R3,117.14,19.65,T,270.00
R3,136.92,19.65,T,270.00
R3,156.70,19.65,T,270.00
R3,176.48,19.65,T,270.00
R3,196.26,19.65,T,270.00
R4,16.84,131.65,T,270.00
R4,36.62,131.65,T,270.00
R4,56.40,131.65,T,270.00
R4,76.18,131.65,T,270.00
R4,95.96,131.65,T,270.00
R4,115.74,131.65,T,270.00
R4,135.52,131.65,T,270.00
R4,155.30,131.65,T,270.00
R4,175.08,131.65,T,270.00
R4,194.86,131.65,T,270.00
R4,194.86,103.65,T,270.00
R4,16.84,103.65,T,270.00
R4,36.62,103.65,T,270.00
R4,56.40,103.65,T,270.00
R4,76.18,103.65,T,270.00
R4,95.96,103.65,T,270.00
R4,115.74,103.65,T,270.00
R4,135.52,103.65,T,270.00
R4,155.30,103.65,T,270.00
R4,175.08,103.65,T,270.00
R4,16.84,75.65,T,270.00
R4,36.62,75.65,T,270.00
R4,56.40,75.65,T,270.00
R4,76.18,75.65,T,270.00
R4,95.96,75.65,T,270.00
R4,115.74,75.65,T,270.00
R4,135.52,75.65,T,270.00
R4,155.30,75.65,T,270.00
R4,175.08,75.65,T,270.00
R4,194.86,75.65,T,270.00
R4,16.84,47.65,T,270.00
R4,36.62,47.65,T,270.00
R4,56.40,47.65,T,270.00
R4,76.18,47.65,T,270.00
R4,95.96,47.65,T,270.00
R4,115.74,47.65,T,270.00
R4,135.52,47.65,T,270.00
R4,155.30,47.65,T,270.00
R4,175.08,47.65,T,270.00
R4,194.86,47.65,T,270.00
R4,16.84,19.65,T,270.00
R4,36.62,19.65,T,270.00
R4,56.40,19.65,T,270.00
R4,76.18,19.65,T,270.00
R4,95.96,19.65,T,270.00
R4,115.74,19.65,T,270.00
R4,135.52,19.65,T,270.00
R4,155.30,19.65,T,270.00
R4,175.08,19.65,T,270.00
R4,194.86,19.65,T,270.00
R5,14.94,131.65,T,270.00
R5,34.72,131.65,T,270.00
R5,54.50,131.65,T,270.00
R5,74.28,131.65,T,270.00
R5,94.06,131.65,T,270.00
R5,113.84,131.65,T,270.00
R5,133.62,131.65,T,270.00
R5,153.40,131.65,T,270.00
R5,94.06,75.65,T,270.00
R5,113.84,75.65,T,270.00
R5,133.62,75.65,T,270.00
R5,153.40,75.65,T,270.00
R5,173.18,75.65,T,270.00
R5,192.96,75.65,T,270.00
R5,14.94,47.65,T,270.00
R5,34.72,47.65,T,270.00
R5,54.50,47.65,T,270.00
R5,74.28,47.65,T,270.00
R5,94.06,47.65,T,270.00
R5,113.84,47.65,T,270.00
R5,133.62,47.65,T,270.00
R5,153.40,47.65,T,270.00
R5,173.18,47.65,T,270.00
R5,192.96,47.65,T,270.00
R5,14.94,19.65,T,270.00
R5,34.72,19.65,T,270.00
R5,54.50,19.65,T,270.00
R5,74.28,19.65,T,270.00
R5,94.06,19.65,T,270.00
R5,113.84,19.65,T,270.00
R5,133.62,19.65,T,270.00
R5,153.40,19.65,T,270.00
R5,173.18,19.65,T,270.00
R5,192.96,19.65,T,270.00
R5,173.18,131.65,T,270.00
R5,192.96,131.65,T,270.00
R5,192.96,103.65,T,270.00
R5,14.94,103.65,T,270.00
R5,34.72,103.65,T,270.00
